192.168.64.4 - - [24/Aug/2022:15:51:01 +0000] "GET / HTTP/1.1" 200 8 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
192.168.144.2 - - [24/Aug/2022:16:07:45 +0000] "GET / HTTP/1.1" 200 8 "-" "TelegramBot (like TwitterBot)"
192.168.144.2 - - [24/Aug/2022:16:07:50 +0000] "GET / HTTP/1.1" 200 8 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
192.168.144.2 - - [24/Aug/2022:16:07:52 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
192.168.144.2 - - [24/Aug/2022:16:07:52 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
192.168.144.2 - - [24/Aug/2022:16:08:21 +0000] "GET / HTTP/1.1" 200 8 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2851.0 Safari/537.36"
192.168.144.2 - - [24/Aug/2022:16:08:25 +0000] "GET / HTTP/1.1" 200 8 "-" "-"
192.168.144.2 - - [24/Aug/2022:16:08:27 +0000] "GET /info.php HTTP/1.1" 404 153 "-" "Go-http-client/1.1"
192.168.144.2 - - [24/Aug/2022:16:08:27 +0000] "GET /s/3135382e3136302e322e313838/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.1" 404 153 "-" "Go-http-client/1.1"
192.168.144.2 - - [24/Aug/2022:16:08:27 +0000] "GET /debug/default/view?panel=config HTTP/1.1" 404 153 "-" "Go-http-client/1.1"
192.168.144.2 - - [24/Aug/2022:16:08:27 +0000] "GET / HTTP/1.1" 200 8 "-" "Mozilla/5.0 (Linux; Android 6.0; HTC One M9 Build/MRA290022) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2661.98 Mobile Safari/537.3"
192.168.144.2 - - [24/Aug/2022:16:08:27 +0000] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1" 404 153 "-" "Go-http-client/1.1"
192.168.144.2 - - [24/Aug/2022:16:08:27 +0000] "GET /.DS_Store HTTP/1.1" 404 153 "-" "Go-http-client/1.1"
192.168.144.2 - - [24/Aug/2022:16:08:27 +0000] "GET /.git/config HTTP/1.1" 404 153 "-" "Go-http-client/1.1"
192.168.144.2 - - [24/Aug/2022:16:08:27 +0000] "GET /server-status HTTP/1.1" 404 153 "-" "Go-http-client/1.1"
192.168.144.2 - - [24/Aug/2022:16:08:27 +0000] "GET /.env HTTP/1.1" 404 153 "-" "Go-http-client/1.1"
192.168.144.2 - - [24/Aug/2022:16:08:27 +0000] "GET /?rest_route=/wp/v2/users/ HTTP/1.1" 200 8 "-" "Go-http-client/1.1"
192.168.144.2 - - [24/Aug/2022:16:08:27 +0000] "GET /telescope/requests HTTP/1.1" 404 153 "-" "Go-http-client/1.1"
192.168.144.2 - - [24/Aug/2022:16:08:27 +0000] "GET /login.action HTTP/1.1" 404 153 "-" "Go-http-client/1.1"
192.168.144.2 - - [24/Aug/2022:16:08:27 +0000] "GET /v2/_catalog HTTP/1.1" 404 153 "-" "Go-http-client/1.1"
192.168.144.2 - - [24/Aug/2022:16:08:27 +0000] "GET /config.json HTTP/1.1" 404 153 "-" "Go-http-client/1.1"
192.168.144.2 - - [24/Aug/2022:16:08:27 +0000] "GET /api/search?folderIds=0 HTTP/1.1" 404 153 "-" "Go-http-client/1.1"
192.168.144.2 - - [24/Aug/2022:16:08:37 +0000] "GET /.git/config HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Linux; Android 12; SM-N9860) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Mobile Safari/537.36"
192.168.144.2 - - [24/Aug/2022:16:09:55 +0000] "GET / HTTP/1.1" 200 8 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"
192.168.160.4 - - [24/Aug/2022:16:11:04 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
192.168.160.4 - - [24/Aug/2022:16:11:07 +0000] "GET / HTTP/1.1" 200 8 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
